modality,M,q,o,n_subjects,n_genuine,n_impostor,c_tau_DEV,EER,c_EER,TAR_DEV,FMR_DEV,FNMR_DEV,Dsys_DEV
face,256,32,3,42,262,10742,71,0.026717557251908396,34,0.8587786259541985,0.0006516477378514243,0.14122137404580148,0.17163419940309982
face,32,4,4,42,262,10742,22,0.04911349416390032,15,0.5,0.0004654626698938745,0.5,0.16863716564243514
face,32,8,4,42,262,10742,18,0.04507856854281401,10,0.5419847328244275,0.0004654626698938745,0.4580152671755725,0.19520244093994354
face,32,16,4,42,262,10742,14,0.04643436301071866,7,0.6946564885496184,0.0007447402718301992,0.30534351145038163,0.10288224819244313
face,32,32,4,42,262,10742,11,0.05052934941825154,5,0.7175572519083969,0.0004654626698938745,0.2824427480916031,0.06182875586945358
face,64,4,4,42,262,10742,40,0.032597482979162366,29,0.6297709923664122,0.000930925339787749,0.3702290076335878,0.1594444333005757
face,64,8,4,42,262,10742,28,0.0380385560874628,19,0.8244274809160306,0.000930925339787749,0.17557251908396942,0.15841787071340263
face,64,16,4,42,262,10742,24,0.03835453774385072,14,0.8129770992366412,0.0006516477378514243,0.1870229007633588,0.18428144421378856
face,64,32,4,42,262,10742,19,0.04014053271704368,9,0.816793893129771,0.0007447402718301992,0.18320610687022898,0.04379217311647991
face,128,4,4,42,262,10742,73,0.03279262086513995,54,0.8053435114503816,0.0005585552038726494,0.19465648854961837,0.21203692976407515
face,128,8,4,42,262,10742,58,0.030534351145038167,36,0.7900763358778626,0.0008378328058089741,0.20992366412213737,0.10726632255459154
face,128,16,4,42,262,10742,45,0.030534351145038167,25,0.8702290076335878,0.0008378328058089741,0.1297709923664122,0.12646932112243758
face,128,32,4,42,262,10742,35,0.030423182390869337,18,0.8473282442748091,0.0007447402718301992,0.15267175572519087,0.1174773052161679
face,256,4,4,42,262,10742,136,0.022900763358778626,106,0.8893129770992366,0.0008378328058089741,0.11068702290076338,0.2304838882997572
face,256,8,4,42,262,10742,109,0.024928435114503815,72,0.8396946564885496,0.0008378328058089741,0.16030534351145043,0.22523200246533187
face,256,16,4,42,262,10742,86,0.030534351145038167,47,0.851145038167939,0.000930925339787749,0.14885496183206104,0.10090390670877723
face,256,32,4,42,262,10742,66,0.026717557251908396,34,0.8778625954198473,0.000930925339787749,0.12213740458015265,0.1567503264677415
